state,value
Washington,0.12
Delaware,0.14
Wisconsin,0.28
West Virginia,0.95
Hawaii,0.05
Florida,0.46
Wyoming,0.96
New Hampshire,0.31
New Jersey,0.15
New Mexico,0.22
Texas,0.88
Louisiana,0.94
North Carolina,0.49
North Dakota,0.94
Nebraska,0.95
Tennessee,0.95
New York,0.09
Pennsylvania,0.28
Rhode Island,0.14
Nevada,0.47
Virginia,0.23
Colorado,0.28
Alaska,0.9
Alabama,0.96
Arkansas,0.92
Vermont,0.07
Illinois,0.11
Georgia,0.75
Indiana,0.89
Iowa,0.58
Oklahoma,0.96
Arizona,0.73
California,0.07
Idaho,0.94
Connecticut,0.12
Maine,0.23
Maryland,0.05
Massachusetts,0.06
Ohio,0.53
Utah,0.89
Missouri,0.81
Minnesota,0.16
Michigan,0.21
Kansas,0.89
Montana,0.86
Mississippi,0.94
South Carolina,0.86
Kentucky,0.93
Oregon,0.11
South Dakota,0.88
